arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
imbens/sampler/_under_sampling/_prototype_selection/_self_paced_under_sampler.py,method,SelfPacedUnderSampler,_check_X_y,A,1,109,120
imbens/sampler/_under_sampling/_prototype_selection/_self_paced_under_sampler.py,method,SelfPacedUnderSampler,fit_resample,A,1,122,161
imbens/sampler/_under_sampling/_prototype_selection/_self_paced_under_sampler.py,method,SelfPacedUnderSampler,_more_tags,A,1,356,360
imbens/sampler/_under_sampling/_prototype_selection/_self_paced_under_sampler.py,method,SelfPacedUnderSampler,__sklearn_tags__,A,1,363,369
imbens/sampler/_under_sampling/_prototype_selection/_tomek_links.py,method,TomekLinks,__init__,A,1,88,90
imbens/sampler/_under_sampling/_prototype_selection/_tomek_links.py,method,TomekLinks,_more_tags,A,1,156,157
imbens/sampler/_under_sampling/_prototype_selection/_tomek_links.py,method,TomekLinks,__sklearn_tags__,A,1,159,162
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,function,,test_allknn_fit_resample,A,1,105,172
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,function,,test_allknn_fit_resample_mode,A,1,196,271
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,function,,test_allknn_fit_resample_with_nn_object,A,1,274,350
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,function,,test_alknn_not_good_object,A,1,353,357
imbens/sampler/_under_sampling/_prototype_selection/tests/test_balance_cascade_under_sampler.py,function,,test_bcus_no_sufficient_data,A,1,182,197
imbens/sampler/_under_sampling/_prototype_selection/tests/test_condensed_nearest_neighbour.py,function,,test_cnn_fit_resample,A,1,48,68
